case_number,primary_type,description,location_description,arrest,year
JJ453453,CRIMINAL DAMAGE,TO VEHICLE,VACANT LOT / LAND,False,2025
JJ447890,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2025
JJ447455,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,RESIDENCE,False,2025
JJ447485,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2025
JJ450082,THEFT,$500 AND UNDER,RESIDENCE,False,2025
JJ447484,THEFT,OVER $500,STREET,False,2025
JJ452162,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2025
JJ451462,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,2025
JJ448132,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2025
JJ448272,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2025
JJ447672,CRIMINAL DAMAGE,TO VEHICLE,VACANT LOT / LAND,False,2025
JJ447580,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,2025
JJ450570,BATTERY,SIMPLE,RESIDENCE,False,2025
JJ448670,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2025
JJ447492,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,2025
JJ447844,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,2025
JJ450460,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,2025
JJ447469,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,2025
JJ447515,THEFT,OVER $500,STREET,False,2025
JJ447452,DECEPTIVE PRACTICE,UNAUTHORIZED VIDEOTAPING,APARTMENT,False,2025
JJ447451,BATTERY,SIMPLE,STREET,False,2025
JJ447454,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,2025
JJ447682,MOTOR VEHICLE THEFT,AUTOMOBILE,APARTMENT,False,2025
JJ450924,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,2025
JJ447444,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",APARTMENT,False,2025
JJ447456,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,RESIDENCE,False,2025
JJ447434,ASSAULT,SIMPLE,GAS STATION,False,2025
JJ447442,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,True,2025
JJ447445,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,BAR OR TAVERN,False,2025
JJ447440,BATTERY,SIMPLE,STREET,False,2025
JJ451212,THEFT,POCKET-PICKING,SIDEWALK,False,2025
JJ447450,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,2025
JJ447553,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,VEHICLE NON-COMMERCIAL,False,2025
JJ447448,ASSAULT,SIMPLE,STREET,False,2025
JJ447453,BATTERY,SIMPLE,ALLEY,False,2025
JJ447882,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,False,2025
JJ447670,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,True,2025
JJ447447,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,GAS STATION,True,2025
JJ447429,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE - PORCH / HALLWAY,False,2025
JJ447735,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2025
JJ447441,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,2025
JJ447432,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2025
JJ447430,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,ALLEY,True,2025
JJ448175,BATTERY,SIMPLE,BRIDGE,False,2025
JJ448804,CRIMINAL DAMAGE,TO PROPERTY,STREET,False,2025
JJ448029,THEFT,$500 AND UNDER,RESIDENCE,False,2025
JJ448039,CRIMINAL TRESPASS,TO LAND,APARTMENT,False,2025
JJ448464,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,HOTEL / MOTEL,False,2025
JJ447623,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,False,2025
JJ448027,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2025
JJ447409,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2025
JJ447417,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,SIDEWALK,False,2025
JJ447783,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE - PORCH / HALLWAY,False,2025
JJ447864,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,2025
JJ447767,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE - GARAGE,False,2025
JJ447428,THEFT,OVER $500,STREET,False,2025
JJ452382,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,2025
JJ447946,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2025
JJ447413,BATTERY,SIMPLE,BAR OR TAVERN,True,2025
JJ454653,THEFT,OVER $500,RESIDENCE,False,2025
JJ447419,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,False,2025
JJ447725,CRIMINAL DAMAGE,TO PROPERTY,ALLEY,False,2025
JJ447824,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,2025
JJ449121,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2025
JJ447393,ASSAULT,SIMPLE,GAS STATION,False,2025
JJ447405,BATTERY,SIMPLE,APARTMENT,False,2025
JJ447421,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,APARTMENT,False,2025
JJ447406,BATTERY,SIMPLE,RESTAURANT,True,2025
JJ447403,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,True,2025
JJ447385,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,2025
JJ447410,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,2025
JJ447398,CRIMINAL DAMAGE,TO PROPERTY,STREET,False,2025
JJ447384,BATTERY,SIMPLE,APARTMENT,False,2025
JJ447590,THEFT,POCKET-PICKING,STREET,False,2025
JJ447817,THEFT,OVER $500,STREET,False,2025
JJ447615,THEFT,FROM BUILDING,BAR OR TAVERN,False,2025
JJ451337,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,2025
JJ447378,BATTERY,SIMPLE,RESIDENCE,False,2025
