anchor,neighbor,sim
crime,broadway,0.9877884984016418
crime,district,0.98224937915802
crime,company,0.9811791181564331
crime,cheney,0.9798952341079712
crime,rogers,0.9698600172996521
crime,office,0.969049870967865
crime,lang,0.9678312540054321
crime,pete,0.9662512540817261
crime,george,0.9591753482818604
crime,city,0.9574504494667053
crime,attorney's,0.9574417471885681
crime,august,0.9512657523155212
crime,york,0.9373108148574829
crime,mcmahon,0.93662428855896
crime,new,0.9365042448043823
mabel,signature,0.9845501184463501
mabel,mrs,0.9783704876899719
mabel,p-body,0.971511721611023
mabel,she,0.9666078090667725
mabel,parker,0.9647891521453857
mabel,trial,0.9623019695281982
mabel,when,0.9594587683677673
mabel,parker's,0.9582278728485107
mabel,jim,0.9499507546424866
mabel,evidence,0.9469931721687317
mabel,but,0.9343768954277039
mabel,james,0.9206547737121582
mabel,detective,0.9144808650016785
mabel,west,0.9131690859794617
mabel,singley,0.9126367568969727
court,jury,0.9252327680587769
court,room,0.9142177104949951
court,detective,0.8414442539215088
court,peabody,0.8319300413131714
court,evidence,0.8310022354125977
court,signature,0.8033589720726013
court,jim,0.7897053956985474
court,trial,0.7717090249061584
court,but,0.7716903686523438
court,p-body,0.7564475536346436
court,money,0.7540000677108765
court,parker's,0.7527715563774109
court,bank,0.7513132095336914
court,mabel,0.750730037689209
court,parker,0.7504355907440186
