u,v,weight
all,arthur,2
all,attorney's,2
all,cheney,2
all,colleen,2
all,crime,2
all,district,2
all,libravox,2
all,mcmahon,2
all,office,2
all,preface,2
all,recording,2
all,stories,2
all,train,2
all,true,2
all,check,6
all,it's,6
all,jim,2
all,money,2
all,p-body,6
all,too,5
all,bank,5
all,signature,5
all,then,5
all,there,5
all,still,2
arthur,attorney's,5
arthur,cheney,11
arthur,colleen,4
arthur,crime,5
arthur,district,5
arthur,libravox,3
arthur,mcmahon,4
arthur,office,5
arthur,preface,5
arthur,recording,4
arthur,stories,5
arthur,train,5
arthur,true,5
arthur,while,3
arthur,april,6
arthur,building,6
arthur,city,6
arthur,courts,6
arthur,criminal,6
arthur,new,6
arthur,others,4
arthur,york,6
arthur,august,5
arthur,broadway,5
arthur,company,5
arthur,pete,5
arthur,rogers,5
arthur,beer,4
arthur,check,4
arthur,george,4
arthur,having,4
arthur,lang,4
arthur,stop,4
arthur,bank,3
arthur,money,3
arthur,certainly,2
attorney's,cheney,5
attorney's,colleen,4
attorney's,crime,5
attorney's,district,11
attorney's,libravox,3
attorney's,mcmahon,4
attorney's,office,11
attorney's,preface,5
attorney's,recording,4
attorney's,stories,5
attorney's,train,5
attorney's,true,5
attorney's,while,2
attorney's,court,2
attorney's,evidence,6
attorney's,forgery,5
attorney's,god's,3
attorney's,jury,2
attorney's,mrs,6
attorney's,parker,6
attorney's,signature,4
attorney's,trial,6
attorney's,whereupon,4
attorney's,elmira,5
attorney's,new,5
attorney's,sweeney,5
attorney's,wallace,5
attorney's,york,5
attorney's,attorney,4
attorney's,his,4
attorney's,bierstadt,3
attorney's,check,3
cheney,colleen,4
cheney,crime,5
cheney,district,5
cheney,libravox,3
cheney,mcmahon,4
cheney,office,5
cheney,preface,5
cheney,recording,4
cheney,stories,5
cheney,train,5
cheney,true,5
cheney,while,3
cheney,april,6
cheney,building,6
cheney,city,6
cheney,courts,6
cheney,criminal,6
cheney,new,6
cheney,others,4
cheney,york,6
cheney,august,5
cheney,broadway,5
cheney,company,5
cheney,pete,5
cheney,rogers,5
cheney,beer,4
cheney,check,4
cheney,george,4
cheney,having,4
cheney,lang,4
cheney,stop,4
cheney,bank,3
cheney,money,3
cheney,certainly,2
colleen,crime,7
colleen,district,4
colleen,libravox,3
colleen,mcmahon,11
colleen,office,4
colleen,preface,4
colleen,recording,11
colleen,stories,4
colleen,train,4
colleen,true,4
colleen,american,4
colleen,bedford,5
colleen,end,7
colleen,her,2
colleen,james,3
colleen,jury,7
colleen,mabel,7
colleen,parker,7
colleen,parker's,4
colleen,reformatory,5
colleen,she,5
colleen,trial,4
colleen,around,5
colleen,avenue,5
colleen,bank,5
colleen,check,5
colleen,court,5
colleen,couser,5
colleen,detective,5
colleen,evidence,5
colleen,fifth,5
colleen,forgery,5
colleen,money,5
colleen,notes,5
colleen,object,5
colleen,room,5
colleen,signature,5
colleen,witness,5
crime,district,5
crime,libravox,3
crime,mcmahon,7
crime,office,5
crime,preface,6
crime,recording,7
crime,stories,5
crime,train,5
crime,true,5
crime,while,4
crime,accordingly,4
crime,convent,5
crime,english,3
crime,james,13
crime,louis,2
crime,mabel,11
crime,minnesota,2
crime,mrs,9
crime,new,8
crime,parker,13
crime,parker's,7
crime,paul,2
crime,prentice,6
crime,waiting,6
crime,york,8
crime,her,11
crime,singley,8
crime,money,6
crime,his,4
crime,slander,3
crime,further,2
crime,trial,7
crime,george,2
crime,lang,3
crime,lope,3
crime,thus,3
crime,american,5
crime,jury,5
crime,bedford,4
crime,reformatory,4
crime,she,4
crime,end,3
district,libravox,3
district,mcmahon,4
district,office,11
district,preface,5
district,recording,4
district,stories,5
district,train,5
district,true,5
district,while,2
district,court,2
district,evidence,9
district,forgery,8
district,god's,3
district,jury,4
district,mrs,8
district,parker,9
district,signature,7
district,trial,9
district,whereupon,4
district,elmira,6
district,new,6
district,sweeney,8
district,wallace,6
district,york,6
district,attorney,7
district,his,6
district,bierstadt,6
district,check,6
district,but,4
district,peabody,4
libravox,mcmahon,3
libravox,office,3
libravox,preface,3
libravox,recording,3
libravox,stories,3
libravox,train,3
libravox,true,3
mcmahon,office,4
mcmahon,preface,4
mcmahon,recording,11
mcmahon,stories,4
mcmahon,train,4
mcmahon,true,4
mcmahon,american,4
mcmahon,bedford,5
mcmahon,end,7
mcmahon,her,2
mcmahon,james,3
mcmahon,jury,7
mcmahon,mabel,7
mcmahon,parker,7
mcmahon,parker's,4
mcmahon,reformatory,5
mcmahon,she,5
mcmahon,trial,4
mcmahon,around,5
mcmahon,avenue,5
mcmahon,bank,5
mcmahon,check,5
mcmahon,court,5
mcmahon,couser,5
mcmahon,detective,5
mcmahon,evidence,5
mcmahon,fifth,5
mcmahon,forgery,5
mcmahon,money,5
mcmahon,notes,5
mcmahon,object,5
mcmahon,room,5
mcmahon,signature,5
mcmahon,witness,5
office,preface,5
office,recording,4
office,stories,5
office,train,5
office,true,5
office,while,2
office,court,2
office,evidence,6
office,forgery,5
office,god's,3
office,jury,2
office,mrs,6
office,parker,6
office,signature,4
office,trial,6
office,whereupon,4
office,elmira,5
office,new,5
office,sweeney,5
office,wallace,5
office,york,5
office,attorney,4
office,his,4
office,bierstadt,3
office,check,3
preface,recording,4
preface,stories,5
preface,train,5
preface,true,5
preface,while,3
recording,stories,4
recording,train,4
recording,true,4
recording,american,4
recording,bedford,5
recording,end,7
recording,her,2
recording,james,3
recording,jury,7
recording,mabel,7
recording,parker,7
recording,parker's,4
recording,reformatory,5
recording,she,5
recording,trial,4
recording,around,5
recording,avenue,5
recording,bank,5
recording,check,5
recording,court,5
recording,couser,5
recording,detective,5
recording,evidence,5
recording,fifth,5
recording,forgery,5
recording,money,5
recording,notes,5
recording,object,5
recording,room,5
recording,signature,5
recording,witness,5
stories,train,5
stories,true,5
stories,while,2
train,true,5
train,while,2
true,while,2
